ai_relevance,analysis_url,asset_class,evidence_strength,geography,id,interactive_url,lane,last_updated,maintainer,market_integrity_risk,market_scope,openness_level,path,public_post_url,related_contributions,status,title
medium,,battery_storage,B,Germany,EP-001,,market-benchmarks,2026-04-26,stratnergy,low,day_ahead;intraday;FCR;aFRR,5,problems/EP-001-open-bess-revenue-index.md,,isea-battery-revenue-index;gigastorage-battery-trading-benchmark;enspired-portfolio-performance,SOLVED_FOR_SCOPE,Open BESS Revenue Index for Germany
medium,,battery_storage,C,Europe,EP-002,,market-benchmarks,2026-04-26,stratnergy,medium,trading;portfolio_performance,2,problems/EP-002-public-bess-portfolio-performance.md,,enspired-portfolio-performance,PUBLIC_DISCLOSURE,Public Actual BESS Portfolio Performance
medium,,battery_storage;energy_storage,B,Europe,EP-003,,market-benchmarks,2026-04-26,stratnergy,medium,day_ahead;intraday,5,problems/EP-003-open-ess-trading-benchmark.md,,gigastorage-battery-trading-benchmark,REFERENCE_AVAILABLE,Open ESS Trading Benchmark
high,,load,B,Europe,EP-101,,forecasting,2026-04-26,stratnergy,low,forecasting,4,problems/EP-101-open-short-term-load-forecast-benchmark.md,,openstef,REFERENCE_AVAILABLE,Open Short-Term Load Forecast Benchmark
high,,load;battery_storage;flexibility,D,Global,EP-103,,forecasting,2026-04-26,stratnergy,medium,forecasting;dispatch,0,problems/EP-103-forecast-decision-quality-benchmark.md,,,OPEN,Forecast Decision-Quality Benchmark
medium,,battery_storage,D,Europe,EP-201,,trading-logic,2026-04-26,stratnergy,high,day_ahead;intraday,0,problems/EP-201-transparent-battery-strategy-baseline.md,,,OPEN,Transparent Battery Strategy Baseline
high,,battery_storage;flexibility,D,Global,EP-301,,virtualisation,2026-04-26,stratnergy,medium,virtualisation,0,problems/EP-301-open-virtual-battery-schema.md,,,OPEN,Open Virtual Battery Schema
high,,flexibility;demand_response,D,Global,EP-302,,virtualisation,2026-04-26,stratnergy,medium,virtualisation;contracts,0,problems/EP-302-firm-vs-interruptible-flexibility.md,,,OPEN,Firm vs Interruptible Flexibility
high,,battery_storage;flexibility,D,Global,EP-304,,virtualisation,2026-04-26,stratnergy,medium,virtualisation;benchmarks,0,problems/EP-304-virtual-battery-evidence-package.md,,,OPEN,Virtual Battery Evidence Package
medium,,market,B,Europe,EP-401,,market-simulation,2026-04-26,stratnergy,medium,simulation;policy_analysis,4,problems/EP-401-agent-based-market-simulation.md,,assume,REFERENCE_AVAILABLE,Agent-Based Market Simulation Benchmark
medium,,grid;battery_storage;der,B,Global,EP-501,,grid-stress,2026-04-26,stratnergy,low,network_modelling;grid_stress,4,problems/EP-501-open-grid-stress-modelling.md,,pypsa;lf-energy-power-grid-model,PARTIAL,Open Grid Stress Modelling
high,,demand_response;der;flexibility,B,Global,EP-601,,demand-response,2026-04-26,stratnergy,medium,demand_response;event_replay,4,problems/EP-601-demand-response-event-replay.md,,openleadr;flexmeasures;openems,PARTIAL,Demand Response Event Replay
high,,registries;generation;assets,B,Germany,EP-701,,open-data,2026-04-26,stratnergy,low,open_data;mcp,4,problems/EP-701-ai-accessible-energy-asset-registries.md,,official-mastr-register;open-mastr;bundesapi-marktstammdaten-api;marktstammdatenregister-dev;mastr-mcp-server,PARTIAL,AI-Accessible Energy Asset Registries
high,,data,D,Global,EP-702,,open-data,2026-04-26,stratnergy,low,source_ledger;audit,0,problems/EP-702-energy-source-ledger-schema.md,,,OPEN,Energy Source-Ledger Schema
medium,,terminology,B,Global,EP-801,,terminology,2026-04-26,stratnergy,low,ontology;metadata,4,problems/EP-801-shared-energy-terminology.md,,open-energy-ontology,REFERENCE_AVAILABLE,Shared Energy Terminology
medium,,software;energy_models,B,Global,EP-901,,computational-infrastructure,2026-04-26,stratnergy,medium,dispatch;planning;storage_optimization;flexibility,4,problems/EP-901-open-optimization-stack-for-energy-models.md,,highs;scip;cbc;or-tools;pyomo;jump,PARTIAL,Open Optimization Stack for Energy Models
